area;UNIDADE;SOLO_EMBRA;MAT_ORIGEM;LEGENDA;Declividade (calculada em aula)
1211,890471;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
5157,217449;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
6983,824581;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
2269,078259;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
778,5012741;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
6969,560929;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1845,163141;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
651,3505525;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
12162,21196;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
12162,21196;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
4131,92373;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
4131,92373;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
2038,924368;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
2038,924368;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
9073,614842;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
9073,614842;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
17423,37541;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
17423,37541;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
15780,78216;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
